step,completed_column_rate,unfinished_column_count,col00_flat__current_level_mean,col00_flat__rows_advanced_mean,col00_flat__row_advance_rate,col01_slope_down__current_level_mean,col01_slope_down__rows_advanced_mean,col01_slope_down__row_advance_rate,col02_slope_up__current_level_mean,col02_slope_up__rows_advanced_mean,col02_slope_up__row_advance_rate,col03_rough__current_level_mean,col03_rough__rows_advanced_mean,col03_rough__row_advance_rate,col04_rough__current_level_mean,col04_rough__rows_advanced_mean,col04_rough__row_advance_rate,col05_stairs_down__current_level_mean,col05_stairs_down__rows_advanced_mean,col05_stairs_down__row_advance_rate,col06_stairs_down__current_level_mean,col06_stairs_down__rows_advanced_mean,col06_stairs_down__row_advance_rate,col07_stairs_down__current_level_mean,col07_stairs_down__rows_advanced_mean,col07_stairs_down__row_advance_rate,col08_obstacles__current_level_mean,col08_obstacles__rows_advanced_mean,col08_obstacles__row_advance_rate,col09_obstacles__current_level_mean,col09_obstacles__rows_advanced_mean,col09_obstacles__row_advance_rate
58,0.800000,2.000000,7.750000,6.750000,1.000000,5.312500,4.312500,1.000000,7.125000,5.125000,1.000000,9.250000,4.916667,1.000000,5.458333,3.125000,0.958333,5.166667,4.166667,1.000000,3.750000,2.750000,0.875000,4.125000,3.125000,0.875000,16.453947,0.111842,0.085526,17.523026,0.032895,0.032895
59,0.900000,1.000000,5.916667,4.208333,0.833333,8.250000,7.500000,0.875000,7.958333,4.708333,0.916667,6.166667,3.500000,0.500000,9.375000,6.020833,1.000000,2.500000,1.500000,0.750000,4.250000,3.250000,1.000000,3.937500,2.937500,1.000000,16.536289,0.069864,0.055510,17.255630,0.079703,0.079703
60,0.900000,1.000000,6.625000,4.625000,1.000000,2.083333,2.083333,0.791667,8.750000,4.687500,0.875000,3.604167,1.437500,0.729167,7.250000,2.250000,0.625000,3.125000,2.125000,0.812500,3.312500,2.312500,0.687500,3.437500,2.437500,0.750000,16.514805,0.004934,0.004934,15.306547,0.047371,0.047371
61,0.900000,1.000000,8.687500,6.062500,0.937500,5.625000,5.625000,1.000000,5.375000,3.812500,0.937500,6.666667,4.000000,0.958333,8.312500,3.312500,1.000000,3.687500,2.687500,0.875000,3.312500,2.312500,1.000000,3.250000,2.250000,0.937500,16.562500,0.039474,0.037829,2.812500,0.312500,0.312500
62,0.900000,1.000000,5.395833,3.520833,0.833333,5.687500,5.687500,0.875000,6.916667,5.166667,0.958333,7.187500,3.979167,0.875000,8.937500,4.250000,0.750000,3.625000,2.625000,0.812500,4.500000,3.500000,0.812500,4.187500,3.187500,0.812500,16.636513,0.047697,0.044408,2.000000,0.500000,0.500000
63,0.900000,1.000000,7.083333,5.416667,0.916667,5.416667,3.979167,0.895833,8.437500,5.250000,0.875000,4.625000,2.875000,0.875000,4.562500,1.729167,0.812500,3.500000,2.500000,0.812500,2.375000,1.375000,0.812500,2.812500,1.812500,0.875000,16.728619,0.075658,0.060855,2.000000,0.125000,0.125000
64,0.900000,1.000000,6.625000,4.125000,0.833333,8.375000,5.937500,0.937500,7.062500,3.812500,0.875000,5.375000,4.250000,0.875000,7.500000,4.916667,1.000000,3.875000,2.875000,0.937500,4.812500,3.812500,1.000000,4.416667,3.416667,0.916667,16.822369,0.054276,0.047697,2.437500,0.437500,0.375000
65,0.900000,1.000000,8.416667,5.083333,1.000000,6.937500,3.312500,0.875000,7.458333,4.458333,0.916667,4.750000,2.687500,0.812500,5.312500,2.937500,0.750000,3.750000,2.750000,0.937500,2.500000,1.500000,0.625000,2.666667,1.666667,0.833333,16.914474,0.087171,0.074013,2.562500,0.937500,0.375000
66,0.900000,1.000000,7.750000,5.208333,0.833333,9.062500,5.562500,0.937500,8.562500,5.625000,0.937500,7.312500,4.312500,0.937500,5.937500,3.437500,1.000000,3.312500,2.312500,0.812500,4.062500,3.062500,1.000000,3.708333,2.708333,0.875000,16.988487,0.041118,0.034539,1.812500,0.812500,0.750000
67,0.900000,1.000000,5.250000,3.583333,0.916667,7.562500,3.500000,0.812500,6.812500,4.062500,0.812500,6.125000,3.125000,0.750000,6.625000,4.312500,0.750000,3.187500,2.187500,0.770833,3.312500,2.312500,0.645833,3.604167,2.604167,0.812500,17.060856,0.069079,0.067434,2.312500,1.312500,0.833333
68,0.900000,1.000000,7.291667,5.833333,0.916667,8.187500,3.604167,0.916667,8.000000,4.500000,1.000000,6.500000,3.500000,1.000000,4.687500,2.187500,0.937500,3.520833,2.520833,0.916667,3.437500,2.437500,1.000000,3.562500,2.562500,0.875000,17.090462,0.064145,0.049342,2.062500,0.625000,0.562500
69,0.900000,1.000000,5.208333,3.937500,0.791667,10.354167,6.229167,0.958333,7.875000,5.125000,0.937500,8.187500,3.687500,0.875000,6.979167,4.312500,0.916667,3.833333,2.833333,0.854167,4.312500,3.312500,0.812500,3.645833,2.645833,0.833333,17.166119,0.046053,0.037829,2.375000,0.875000,0.375000
70,0.900000,1.000000,6.375000,5.208333,0.916667,7.937500,3.812500,0.812500,4.250000,4.041667,0.895833,7.312500,2.750000,0.875000,6.750000,2.875000,0.875000,3.375000,2.375000,0.875000,2.229167,1.229167,0.729167,3.437500,2.437500,0.812500,17.202301,0.026316,0.021382,1.562500,0.375000,0.375000
71,0.900000,1.000000,7.687500,5.833333,0.937500,8.937500,4.437500,1.000000,5.750000,5.187500,0.854167,7.625000,4.062500,0.875000,7.937500,4.312500,0.875000,3.875000,2.875000,0.812500,4.458333,3.458333,1.000000,3.875000,2.875000,0.937500,17.266449,0.037829,0.037829,2.062500,1.062500,0.958333
72,0.971094,0.289062,6.927083,3.920573,0.874349,9.261719,5.127930,0.905273,5.028646,3.791667,0.922526,4.384766,3.588867,0.999023,5.563477,3.779297,0.999023,3.862305,2.857422,0.999023,2.402344,1.956055,0.428711,3.711914,2.707031,0.874023,17.310476,0.069577,0.050131,2.356445,1.353516,0.793945
