sample_index,time_s,q_raw,q_ref,q_cmd,qdot_cmd,q_model,qdot_model,q_cmd_minus_model,q_raw_minus_model,qdot_cmd_minus_model,tau_model
663,22.1,-0.1337357312440872,-0.2684937795848009,-0.12213842565815822,-2.0,-0.11420973773919202,-1.8038431936898918,-0.007928687918966199,-0.019525993504895173,-0.19615680631010823,-33.29303607292051
664,22.133333333333333,-0.107495367527008,-0.2294460503880718,-0.1888050923248249,-2.0,-0.1806730615007667,-1.9755988513889629,-0.008132030824058195,0.0731776939737587,-0.02440114861103715,-35.66326414916769
665,22.166666666666668,0.019263170659542,-0.16912539139479832,-0.2376939812137138,-1.4666666666666668,-0.23159419574481951,-0.32693705732209,-0.006099785468894281,0.2508573664043615,-1.1397296093445768,-12.002847409294684
666,22.2,0.1747098416090011,-0.0857333573056227,-0.2688050923248249,-0.9333333333333335,-0.26761715051094165,-0.4849592130849923,-0.0011879418138832643,0.44232699211994275,-0.44837412024834117,-8.71303560627534
667,22.233333333333334,0.0789954885840416,-0.04578086781845707,-0.2821384256581583,-0.40000000000000013,-0.2798125601672249,0.3970142449212293,-0.0023258654909333876,0.3588080487512665,-0.7970142449212294,2.3105885880224792
668,22.266666666666666,0.0922650471329689,-0.012299919560389679,-0.27769398121371386,0.1333333333333332,-0.2774112886538443,0.09723855105359472,-0.00028269255986956843,0.3696763357868132,0.036094782279738474,1.1892520578676429
669,22.3,0.1157019734382629,0.018745003122983765,-0.25547175899149166,0.6666666666666665,-0.2586722195102096,-0.5330816589624292,0.003200460518717918,0.37437419294847246,1.1997483256290957,-2.82901595038132
670,22.333333333333332,0.1649117171764373,0.05419552834857543,-0.21547175899149168,1.1999999999999997,-0.21573963947074742,0.8687694294595426,0.0002678804792557443,0.38065135664718475,0.3312305705404571,13.17820686270053
671,22.366666666666667,0.1174942702054977,0.06954768057747764,-0.15769398121371392,1.733333333333333,-0.1639880509228397,0.27061059149540734,0.006294069709125771,0.2814823211283374,1.4627227418379256,11.880662306501414
672,22.4,0.1386736929416656,0.08631314911065567,-0.09102731454704725,2.0,-0.09895600518316636,1.8038454887608006,0.007928690636119104,0.23762969812483195,0.19615451123919936,33.29306774489905
673,22.433333333333334,0.1358945518732071,0.09833836826356937,-0.024360647880380587,2.0,-0.0324926790424421,1.975599136886912,0.008132031162061515,0.1683872309156492,0.02440086311308809,35.663268089039384
674,22.466666666666665,0.0251362640410661,0.08058430531489266,0.04230601878628608,2.0,0.03414869284865443,1.9969646269315844,0.008157325937631646,-0.009012428807588332,0.0030353730684156144,35.958111851655865
675,22.5,0.1965808570384979,0.1087175140935719,0.1087175140935719,1.9923448592185746,0.10057722724066939,1.9714241270417956,0.008140286852902509,0.0960036297978285,0.020920732176779033,35.60565295317678
676,22.53333333333333,0.1209082752466201,0.11167419878456969,0.15735123162307996,1.4590115258852414,0.15135285026511128,0.33680651395656813,0.0059983813579686796,-0.030444575018491182,1.1222050119286733,12.024256538301756
677,22.566666666666666,0.0729964971542358,0.10229350738575621,0.18820717137481022,0.9256781925519081,0.18696953234306143,0.4610292814255519,0.0012376390317487829,-0.11397303518882564,0.4646489111263562,8.441729696518433
678,22.6,-0.0909251198172569,0.05543125244575902,0.2012853333487627,0.39234485921857476,0.19896233169316818,-0.39965238140539716,0.0023230016555945143,-0.28988745151042505,0.7919972406239719,-2.3587558821558887
679,22.633333333333333,0.0048264944925904,0.043157833973084675,0.19658571754493742,-0.14098847411475857,0.1963532679977341,-0.08720177533843702,0.00023244954720333388,-0.1915267735051437,-0.05378669877632154,-1.1192108333340995
680,22.666666666666668,-0.352194219827652,-0.052728825633472615,0.17410832396333437,-0.6743218074480919,0.1772641371422099,0.5124626188792916,-0.003155813178875533,-0.5294583569698619,-1.1867844263273835,2.5952473167018857
