step,front_roll_cur_deg,front_pitch_cur_deg,front_yaw_cur_deg,rear_roll_cur_deg,rear_pitch_cur_deg,rear_yaw_cur_deg,front_joint_cmd_0_deg,front_joint_cmd_1_deg,front_joint_cmd_2_deg,rear_joint_cmd_0_deg,rear_joint_cmd_1_deg,rear_joint_cmd_2_deg,front_q_ik_0_deg,front_q_ik_1_deg,front_q_ik_2_deg,rear_q_ik_0_deg,rear_q_ik_1_deg,rear_q_ik_2_deg,front_q_sim_0_deg,front_q_sim_1_deg,front_q_sim_2_deg,rear_q_sim_0_deg,rear_q_sim_1_deg,rear_q_sim_2_deg,front_residual_0,front_residual_1,front_residual_2,rear_residual_0,rear_residual_1,rear_residual_2,ik_error
1350,-0.114027,0.067745,0.01107,0.060306,-0.025064,0.006094,0.0,0.0,0.0,0.0,0.0,0.0,0.151799,0.040531,-0.068697,0.007012,-0.021962,0.074354,-0.118805,-0.021031,-0.056195,-0.055372,-0.018886,-0.029644,-0.0,-0.0,0.0,0.0,-0.0,0.0,
1380,-0.117736,0.068333,0.011916,0.063094,-0.025053,0.005998,0.0,0.0,0.0,0.0,0.0,0.0,0.151784,0.042424,-0.072049,0.007075,-0.023883,0.076376,-0.121736,-0.023082,-0.057644,-0.056958,-0.020443,-0.031347,0.0,0.0,0.0,-0.0,-0.0,0.0,
1410,-0.113661,0.071242,0.010262,0.062089,-0.025133,0.005782,0.0,0.0,0.0,0.0,0.0,0.0,0.155121,0.039306,-0.069401,0.007135,-0.023015,0.075823,-0.120716,-0.018018,-0.056615,-0.05634,-0.019725,-0.030942,0.0,0.0,0.0,0.0,0.0,-0.0,
1440,-0.109947,0.072272,0.009652,0.060005,-0.025089,0.005666,0.0,0.0,0.0,0.0,0.0,0.0,0.15632,0.036612,-0.066844,0.007239,-0.021492,0.074399,-0.119015,-0.014924,-0.054952,-0.05504,-0.018517,-0.029839,0.0,0.0,0.0,-0.0,0.0,0.0,
1470,-0.123203,0.066507,0.011162,0.065314,-0.025196,0.006249,0.0,0.0,0.0,0.0,0.0,0.0,0.15072,0.04747,-0.074731,0.006813,-0.025541,0.077859,-0.123349,-0.027211,-0.061397,-0.058462,-0.021703,-0.032431,0.0,0.0,0.0,-0.0,0.0,-0.0,
1500,-0.116176,0.067642,0.012436,0.060185,-0.023526,0.005156,0.0,0.0,0.0,0.0,0.0,0.0,0.150922,0.041305,-0.070964,0.008809,-0.021961,0.074182,-0.120552,-0.02292,-0.056287,-0.053838,-0.01952,-0.030367,-0.0,0.0,0.0,0.0,-0.0,-0.0,
1530,-0.106178,0.069301,0.012406,0.054608,-0.021788,0.004702,0.0,0.0,0.0,0.0,0.0,0.0,0.15231,0.033578,-0.064556,0.010492,-0.018461,0.069792,-0.115847,-0.016016,-0.050543,-0.049171,-0.0174,-0.027533,-0.0,0.0,0.0,0.0,0.0,0.0,
1560,-0.10685,0.076398,0.012809,0.051737,-0.020388,0.003859,0.0,0.0,0.0,0.0,0.0,0.0,0.157869,0.030915,-0.068167,0.012123,-0.016512,0.067676,-0.121378,-0.011498,-0.050564,-0.046172,-0.016423,-0.026563,0.0,-0.0,0.0,0.0,-0.0,0.0,
1590,-0.121327,0.096543,0.017028,0.050492,-0.01722,0.000756,0.0,0.0,0.0,0.0,0.0,0.0,0.171849,0.03046,-0.089081,0.016502,-0.015129,0.067293,-0.145695,-0.007118,-0.055292,-0.041957,-0.016718,-0.028411,0.0,0.0,0.0,-0.0,0.0,-0.0,
1620,-0.121715,0.081701,0.017425,0.056803,-0.019413,0.002124,0.0,0.0,0.0,0.0,0.0,0.0,0.159504,0.036586,-0.083513,0.013919,-0.019491,0.071862,-0.135681,-0.018075,-0.055329,-0.04775,-0.019314,-0.030912,-0.0,0.0,0.0,0.0,-0.0,0.0,
1650,-0.117413,0.094375,0.019867,0.047837,-0.016129,0.000712,0.0,0.0,0.0,0.0,0.0,0.0,0.168446,0.026948,-0.087068,0.017418,-0.01367,0.064996,-0.143013,-0.007565,-0.050805,-0.039629,-0.015987,-0.026893,-0.0,-0.0,0.0,-0.0,0.0,-0.0,
1680,-0.114827,0.091293,0.019838,0.047811,-0.016433,0.001782,0.0,0.0,0.0,0.0,0.0,0.0,0.165952,0.0264,-0.083962,0.016552,-0.014147,0.064485,-0.139318,-0.008243,-0.049398,-0.040269,-0.01619,-0.025993,0.0,0.0,-0.0,-0.0,0.0,-0.0,
1710,-0.110331,0.089969,0.017727,0.044798,-0.015138,-0.001557,0.0,0.0,0.0,0.0,0.0,0.0,0.166099,0.024983,-0.079022,0.019538,-0.010614,0.063753,-0.134886,-0.005754,-0.048577,-0.036237,-0.014046,-0.026985,0.0,0.0,0.0,0.0,0.0,0.0,
1740,-0.102615,0.078173,0.018167,0.045088,-0.014326,-0.00119,0.0,0.0,0.0,0.0,0.0,0.0,0.15623,0.024108,-0.068996,0.019989,-0.011362,0.063415,-0.122262,-0.009943,-0.043876,-0.035988,-0.014941,-0.026841,0.0,0.0,0.0,-0.0,-0.0,-0.0,
1770,-0.092718,0.068036,0.016091,0.04326,-0.013754,-0.00042,0.0,0.0,0.0,0.0,0.0,0.0,0.14917,0.022461,-0.056653,0.020012,-0.010747,0.061444,-0.108516,-0.010683,-0.039966,-0.034836,-0.014628,-0.025164,0.0,0.0,-0.0,-0.0,-0.0,-0.0,
1800,-0.085285,0.060761,0.013715,0.040831,-0.013144,0.000168,0.0,0.0,0.0,0.0,0.0,0.0,0.144615,0.021555,-0.047049,0.020171,-0.009617,0.059138,-0.098088,-0.010659,-0.03768,-0.033237,-0.013921,-0.023284,0.0,-0.0,-0.0,-0.0,0.0,0.0,
1830,8.368182,11.696038,-5.715246,0.007722,-0.005255,0.00703,0.0,16.0,0.0,0.0,0.0,0.0,12.780471,-6.472207,4.791253,0.022653,0.006623,0.028547,0.021202,15.774518,-0.016767,-0.011066,-0.003504,0.001407,0.0,-0.0,-0.0,0.0,0.0,-0.0,
1860,17.755388,26.829448,-10.457582,0.004361,-0.003217,0.003345,0.0,35.0,0.0,0.0,0.0,0.0,27.798621,-12.583024,8.726338,0.026443,0.010297,0.027466,0.054829,34.967895,0.006333,-0.006167,-0.001548,0.000252,-0.0,0.0,-0.0,0.0,-0.0,-0.0,
1890,17.74791,26.8284,-10.470034,0.003494,-0.004381,0.004277,0.0,35.0,0.0,0.0,0.0,0.0,27.802377,-12.571654,8.73285,0.024955,0.010847,0.026791,0.058879,34.967908,0.006653,-0.006856,-0.000608,0.001523,0.0,0.0,0.0,-0.0,0.0,0.0,
1920,15.862037,23.796718,-9.700415,-0.004091,-0.004632,0.000156,0.0,31.0,0.0,0.0,0.0,0.0,24.841102,-11.529064,8.045657,0.027126,0.018694,0.023909,0.087565,31.149996,0.040063,-0.000876,0.005574,0.002521,-0.0,-0.0,0.0,-0.0,0.0,0.0,
1950,0.578932,0.974163,-0.466604,0.049931,-0.013519,-0.007008,0.0,1.0,0.0,0.0,0.0,0.0,1.167515,-0.539825,0.328406,0.024004,-0.011755,0.069867,-0.140446,1.218778,-0.03779,-0.036076,-0.015669,-0.034319,0.0,-0.0,0.0,0.0,-0.0,-0.0,
1980,-19.571437,-15.358972,17.423282,-0.037148,-0.00761,-0.014404,0.0,-29.0,0.0,0.0,0.0,0.0,-24.228319,13.423038,-15.897114,0.033093,0.051693,0.010161,0.03005,-28.706834,0.037559,0.024498,0.030338,0.011181,0.0,0.0,-0.0,-0.0,-0.0,-0.0,
2010,-24.020633,-15.356304,24.070759,-0.041131,-0.000224,-0.007963,0.0,-35.0,0.0,0.0,0.0,0.0,-29.223366,14.958932,-22.018448,0.0354,0.047776,0.00061,0.061261,-34.956485,0.045401,0.028297,0.024384,0.018982,0.0,-0.0,0.0,-0.0,0.0,-0.0,
2040,-15.872487,-12.927041,15.049965,-0.026368,0.03417,0.012543,0.0,-24.0,0.0,0.0,0.0,0.0,-20.371084,10.281397,-13.258551,0.051645,0.011457,-0.014847,0.079395,-24.2524,0.039304,0.028293,-0.015343,0.031376,-0.0,0.0,0.0,-0.0,0.0,-0.0,
2070,1.043746,1.508294,-0.797294,0.044948,-0.010923,-0.002875,0.0,2.0,0.0,0.0,0.0,0.0,1.792444,-0.886793,0.633383,0.023741,-0.011676,0.062898,-0.123843,2.000967,-0.053391,-0.032517,-0.017134,-0.028232,-0.0,0.0,0.0,-0.0,0.0,-0.0,
2100,1.057938,1.513854,-0.803004,0.043756,-0.012741,-0.001152,0.0,2.0,0.0,0.0,0.0,0.0,1.800162,-0.895472,0.644532,0.021262,-0.011088,0.061804,-0.116869,2.015486,-0.049906,-0.033824,-0.015854,-0.026135,-0.0,0.0,-0.0,-0.0,0.0,-0.0,
2130,-2.247048,-2.710588,1.754262,-0.061676,0.014594,-0.013728,0.0,-4.0,0.0,0.0,0.0,0.0,-3.141822,1.730781,-1.422751,0.050811,0.059574,-0.016638,0.047905,-3.90902,0.050963,0.051581,0.030186,0.025186,0.0,-0.0,0.0,-0.0,0.0,-0.0,
2160,3.257415,4.119659,-2.273787,0.007181,-0.008194,0.007664,0.0,6.0,0.0,0.0,0.0,0.0,4.747346,-2.553769,2.025104,0.019887,0.007839,0.029,0.021504,5.76854,-0.011684,-0.013059,-0.001511,0.002141,0.0,0.0,-0.0,0.0,-0.0,-0.0,
2190,6.5637,8.703656,-4.445577,0.009092,-0.009098,0.006428,0.0,12.0,0.0,0.0,0.0,0.0,9.658676,-5.093837,3.881378,0.019863,0.00757,0.031433,0.035705,11.953574,0.001761,-0.014308,-0.001429,6e-05,-0.0,0.0,0.0,-0.0,-0.0,-0.0,
2220,6.571015,8.703167,-4.435955,0.009234,-0.009611,0.006557,0.0,12.0,0.0,0.0,0.0,0.0,9.653009,-5.103875,3.880226,0.019369,0.007604,0.031669,0.035846,11.953459,0.001645,-0.014804,-0.001201,6.8e-05,-0.0,0.0,-0.0,0.0,0.0,0.0,
2250,6.576965,8.700982,-4.42827,0.008851,-0.009467,0.006454,0.0,12.0,0.0,0.0,0.0,0.0,9.64694,-5.111252,3.880142,0.019545,0.007875,0.031398,0.03732,11.952085,0.002076,-0.014437,-0.001039,0.000194,0.0,0.0,-0.0,0.0,0.0,-0.0,
2280,16.141296,9.522226,11.912894,-0.01271,0.034599,-0.001404,0.0,12.0,18.0,0.0,0.0,0.0,3.253244,-21.212652,-0.43729,0.060056,0.009674,0.002689,-0.049665,12.021672,17.769813,0.0313,-0.018971,0.004657,0.0,0.0,-0.0,-0.0,0.0,0.0,
2310,24.922278,9.652303,27.97027,0.023394,-0.01078,-0.000803,0.0,12.0,35.0,0.0,0.0,0.0,-0.292086,-36.495288,-4.306239,0.022664,0.002314,0.046405,-0.061571,12.033908,34.968755,-0.022298,-0.001082,-0.012868,-0.0,0.0,0.0,0.0,0.0,-0.0,
2340,24.921757,9.6516,27.970901,0.023603,-0.010975,-0.000515,0.0,12.0,35.0,0.0,0.0,0.0,-0.293092,-36.495184,-4.306396,0.022338,0.00208,0.046466,-0.06215,12.034128,34.968683,-0.022678,-0.001145,-0.012742,-0.0,0.0,-0.0,0.0,0.0,0.0,
2370,9.546363,8.95401,0.341172,0.016043,-0.010889,0.004857,0.0,12.0,5.0,0.0,0.0,0.0,7.4395,-9.915916,2.667909,0.019307,0.00429,0.037986,-0.02112,11.976363,5.231775,-0.018995,-0.003369,-0.005206,0.0,0.0,0.0,0.0,-0.0,0.0,
2400,-7.125421,4.956343,-26.415439,0.011658,-0.01589,0.018922,0.0,12.0,-25.0,0.0,0.0,0.0,22.081171,17.683524,11.547758,0.007104,0.001309,0.028811,0.095214,11.988223,-24.768699,-0.025692,-0.003436,0.008628,0.0,0.0,-0.0,-0.0,-0.0,-0.0,
2430,-10.251231,3.305571,-31.532487,0.008574,-0.011315,0.009505,0.0,12.0,-31.0,0.0,0.0,0.0,25.697419,23.206975,13.912519,0.016276,0.007063,0.030196,0.055007,11.965891,-30.799686,-0.016831,-0.00097,0.002753,-0.0,-0.0,-0.0,0.0,0.0,0.0,
